What type of waste can be identified with the help of the given symble?,Flammable waste,
What is the advantage of using a variety of techniques to import data into dasets or data frames?,It saves time and effort,
which action will you take to come to an argument with other people a)Discussing ideas b)Listening effictively c)Pooling options,"A,B and C",Personal Devolopement Review
Assume that you are tasked with analyzing the sales data for a retail company operating in multiple regions. Which source will be most suitable to obtain consolidated sales data for the company's analysis?,Enterprise resource planning(ERP) system,
What is the correct order of steps to validate imported data using appropiate tools and process? A)Validate data relationships b)Transform data c)Check data integrity,1>2>3,
"As and AI Buisness Inteligence Anlyst ,consider that you are tasked with sselecting suitable visualization to represent the defined outcomes. Visualization type will be best suited for representing trends over time for sale data?",Line chart,
What is the primary benefit of using data compression techniques when importing large datasets?,It reduces the time required to import the data,
Which technique can be used to fill in the missing values with's valde based on the values in the same variable in other ows?,Data Interpolabon,
Assume that you work at a company and need to perform an analysis. Which method can you use to get optimal results?,Repeat the analysisiteratively,
Consider that sam is tasked with identifying and fixing missing values in each variable of a dataset. Which technique can he use to fill in missing data with the average value of the variable?,Imputation,
"The time must be stored in the same format as given in the shown image (IMAGE:- 13:00) Based on the above information, how will 5 pm be depicted in this format?",17:00,
Which aspect is correct with respect to prescriptive analystics?,Providing recommendations on action to take based on data analysis,
Which is an appropiate dimension reduction technique that can be used to optimizevariables?,Factor Analysis,
What statistical technique can be used to measure the strngth of association between two variables in a dataset?,Correlation analysis,
Consider that you need to perform an analysis and validate data. Which tool will you use?,Spreadsheet software,
Consider that you are analyzing customer feedback data. The initial analysis shows some incomplete and inaccurate data. What is the benefit of repeating the analysis iteratively?,It helps to arrive at optimal results,
What is the first step in building good work relationships?,Be friendly and approachable,
"Meeting deadlines is a crucial skill in any workplace. It requires good time management planning and organizational skills. To meet a deadline, it is important to break down the task into smaller, ore managebale chunks and to priortize the most important tasks. Based on the given passage, what are the essential skills to meet a deadline?",Time management planning and organization,
why is it important to establish and agree with appropriate people on the data/information that you need to provide?,To ensure that you provide accurate and complete information,
Which is not a type of index usedd in a database?,Linear regression index(picture),
Arrange the given steps in the correct order for pre-processing data: 1. Cleaning 2.Transformation 3. Integration 4.Reduction,1>2>3>4,
What is the item used to describe the process of converting a categorical variable into a numerical variable?,Encoding,
It is essential to identify and fix incorrect data types in each variable of the dataset to preprocess and clean the data for better analysis. Which technique can be used to pre-process the data?,Data Cleaning ,
What is the correct steps in sequence in the correct sequence for importing and storing data into a dataset of data frame. 1.)Define the data schema and structure 2.0Acquire the data from a source 3.)Transform and pre-process the data,2>1>3,
"Assume that your organization has created a risk assessment tool, and you need to import stakeholders in the validation. Why is it important to do so?",To ensure the tool accurately assesses risk,
Arrange the given resource management techniques in the correct sequence a)Allocate b)Level c)Optimize d)Track,A B C D,
What are the consequence of being consistently late to work?,Decreased Productivity,
_ is the first step towards building a culture of commitement.,Trust,
What is the use of policies and procedures in the workplace?,To provide a framework and fair decission-making,
Assume that Nandini is working on a project for a dient and anlyzing sales data. She finds out that the data is six months old. How can she ensure that the data is up to date?,By regularly verifying the data,
Assume  that a sales manager notice that one customer 's name has been written in two different ways by two sales representative in the customer database. What factor cause data inaccuracies in the customer database?,Poor data retry practice,
_   store and manipulate knowledge to interpret information in a useful way,Machine Learning,
What is the benefit of double checking your work?,It improves the quality of your work,
"Arrange the given steps to find and evaluate the employees skills for their job roles in a company: A)Need to go through the employees professional profiles is primarly the sum total of their knowledge, skills, an abilities(KSA) B)Evaluate each of the three KSAs assuming you have the right tools and adopt the right methods. C) Evaluate the employees knowledge levels in several different ways, like qualifications, certifications and workshops.",C>A>B,
Arrange the given steps on how to obtain feedback from appropriate people on their knoledge and skills in the corect order: A) Collect and analyze feedback B) Identify feedback providers C) Devolop improvement plan based on feedback. D) Reflect on professional devolopement,B>A>C>D,
Consider that a tusk has been assigne dto you. During the course of the project. You realize that you will not be able to meet the deadline.What will you do in the case?,Spell the task into smaller chunks and label each task as donable and undoneble,
What is the best way to build realationship with the client?,Speaking to somebody face to face,
How should you build an enviroment of trust and respect with others?,by being honest,
What must one do to efficiently communicate with a diverse range of people?,Maintain etiquettte,
How do you build a mutually benifecial relationship?,By establishing a long term relationship,
Which is not a suggestion for giving constructive feedback?,Criticize only behaviour and not personal traits,
"confussion or queries, one must connect with _",Their supervisor,
Which individual from the quality council provides support to the organization?,Sponsor,
The individual concern model is the style that represents a low level of concern for both self and others and is known as _,avoiding,
Assume that your finance client wants to add predictive analytics to a real time dashboard project after a few weeks. How will you manage this client who frequently changes the project requirements?,Address changes with the client and suggest a revised plan,
